,Name,Population,Total Enrolled,City,State,Latitude,Longitude,Cluster
2701,OHIO MEDIA SCHOOL-VALLEY VIEW,254,217,VALLEY VIEW,OH,41.393529175000026,-81.61561839699993,128
2702,ASHER COLLEGE,813,748,SACRAMENTO,CA,38.587783960000024,-121.41576693999997,209
2703,UNIVERSITY OF ARKANSAS-FORT SMITH,6533,5887,FORT SMITH,AR,35.38400060500004,-94.37553636899997,375
2704,CALIFORNIA HAIR DESIGN ACADEMY,94,77,LA MESA,CA,32.765220957000054,-117.02426053099998,342
2705,GEORGIA CAREER INSTITUTE,583,510,CONYERS,GA,33.64341600500006,-84.01846670999998,-1
2706,COYNE COLLEGE,598,531,CHICAGO,IL,41.88255833100004,-87.62716675399997,374
2707,BENNETT CAREER INSTITUTE,291,267,WASHINGTON,DC,38.932640097000046,-76.99596477099993,422
2708,LAWRENCE UNIVERSITY,1960,1430,APPLETON,WI,44.261323,-88.397822,381
2709,EMPIRE BEAUTY SCHOOL-GREEN BAY,67,61,ASHWAUBENON,WI,44.477753,-88.076188,381
2710,SAN JOSE CITY COLLEGE,8855,8378,SAN JOSE,CA,37.31443884300006,-121.92884844699995,353
2711,SALISH KOOTENAI COLLEGE,940,716,PABLO,MT,47.596864,-114.107191,-1
2712,SAINT PETER'S UNIVERSITY,3707,3197,JERSEY CITY,NJ,40.727105,-74.071541,369
2713,WILLIAM EDGE INSTITUTE,49,43,NEW BRAUNFELS,TX,29.49542206600006,-98.50824893599997,99
2714,THIEL COLLEGE,1003,768,GREENVILLE,PA,41.41195898600006,-80.38406608499997,-1
2715,INDIANA UNIVERSITY-SOUTH BEND,5635,4942,SOUTH BEND,IN,41.664484886000025,-86.21995987899999,44
2716,MAPLE SPRINGS BAPTIST BIBLE COLLEGE AND SEMINARY,177,95,CAPITOL HEIGHTS,MD,38.863480139000046,-76.94246491799998,422
2717,MORRIS COUNTY VOCATIONAL SCHOOL DISTRICT,35,33,DENVILLE,NJ,40.878583251000066,-74.47900815299994,369
2718,YESHIVA GEDOLAH IMREI YOSEF D'SPINKA,202,187,BROOKLYN,NY,40.628585489000045,-73.99244326499996,369
2719,TALMUDICAL SEMINARY OHOLEI TORAH,377,331,BROOKLYN,NY,40.67005696800004,-73.94562394599996,369
2720,CUNY KINGSBOROUGH COMMUNITY COLLEGE,16728,15116,BROOKLYN,NY,40.576445834000026,-73.93477874799999,369
2721,KEUNE ACADEMY BY 124,117,99,LAWRENCEVILLE,GA,33.964889268000036,-84.02257469499995,284
2722,WHITMAN COLLEGE,1873,1360,WALLA WALLA,WA,46.071487568000066,-118.32971432699998,382
2723,JACKSONVILLE UNIVERSITY,4740,4053,JACKSONVILLE,FL,30.350843156000053,-81.60650677499996,23
2724,EASTERN NAZARENE COLLEGE,964,699,QUINCY,MA,42.271221077000064,-71.01107162399995,236
2725,OCEAN CORPORATION,183,157,HOUSTON,TX,29.665484969000033,-95.57027234199995,364
2726,BELLIN COLLEGE,703,626,GREEN BAY,WI,44.46829363000006,-87.92174503999996,381
2727,MONTSERRAT COLLEGE OF ART,485,362,BEVERLY,MA,42.55034421100004,-70.87618369699999,321
2728,NHTI-CONCORD'S COMMUNITY COLLEGE,3566,2945,CONCORD,NH,43.22362067700004,-71.53197909899995,300
2729,DOMINICAN COLLEGE OF BLAUVELT,2126,1724,ORANGEBURG,NY,41.05411104800004,-73.95233986999995,369
2730,BINGHAMTON UNIVERSITY,20959,18148,VESTAL,NY,42.088049,-75.971143,383
2731,LINCOLN TECHNICAL INSTITUTE-MOORESTOWN,805,710,MOORESTOWN,NJ,39.9485,-74.955976,52
2732,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,19588,17719,WEST CHESTER,PA,39.95195801800003,-75.59850507999994,52
2733,COLLEGE OF SAINT MARY,1313,1024,OMAHA,NE,41.24002206500006,-96.021423025,322
2734,BON SECOURS MEMORIAL COLLEGE OF NURSING,549,456,RICHMOND,VA,37.64687604200003,-77.43319066699996,418
2735,SHAWNEE BEAUTY COLLEGE,39,31,SHAWNEE,OK,35.327649834000056,-96.91805826399997,384
2736,PONTIFICAL COLLEGE JOSEPHINUM,156,86,COLUMBUS,OH,40.12010414500003,-83.01866898199995,234
2737,TRINITY UNIVERSITY,3581,2677,SAN ANTONIO,TX,29.462860371000033,-98.48257743599999,99
2738,XAVIER UNIVERSITY,8455,7061,CINCINNATI,OH,39.14929137300004,-84.47764750699997,142
2739,WOOD COUNTY SCHOOL OF PRACTICAL NURSING,32,28,PARKERSBURG,WV,39.21677076800006,-81.50548128699995,385
2740,AVALON SCHOOL OF COSMETOLOGY-AURORA,177,158,AURORA,CO,39.67630795500003,-104.84860197099994,143
2741,FORTIS INSTITUTE-SCRANTON,323,279,SCRANTON,PA,41.41710374100006,-75.65168332399998,48
2742,DAYTON SCHOOL OF MEDICAL MASSAGE,331,286,DAYTON,OH,39.68275655900004,-84.16906884499997,142
2743,SAN DIEGO CHRISTIAN COLLEGE,716,512,SANTEE,CA,32.843031318000044,-116.97778786799995,342
2744,FORT VALLEY STATE UNIVERSITY,3692,3079,FORT VALLEY,GA,32.538163111000074,-83.89554780299994,-1
2745,SOUTH SUBURBAN COLLEGE,3846,3366,SOUTH HOLLAND,IL,41.606427057000076,-87.61912271399996,374
2746,INTERNATIONAL BUSINESS COLLEGE-FORT WAYNE,-999,-999,FORT WAYNE,IN,41.03497348900004,-85.25749322899998,33
2747,UNIVERSITY OF HOLY CROSS,1365,1137,NEW ORLEANS,LA,29.912003343000038,-89.99444981299996,172
2748,CREATIVE HAIR SCHOOL OF COSMETOLOGY,57,50,FLINT,MI,43.059254,-83.735143,408
2749,ASSOCIATED TECHNICAL COLLEGE-LOS ANGELES,105,92,LOS ANGELES,CA,34.055987482000035,-118.27243048599996,15
2750,CITRUS COLLEGE,12619,11863,GLENDORA,CA,34.135486694000065,-117.88526569599998,15
2751,OTERO JUNIOR COLLEGE,1529,1216,LA JUNTA,CO,37.97118432800005,-103.54477874899999,-1
2752,VELVATEX COLLEGE OF BEAUTY CULTURE,15,11,LITTLE ROCK,AR,34.73568456700008,-92.28959733599999,263
2753,UNIVERSITY OF DENVER,17194,13856,DENVER,CO,39.68143947100003,-104.96153170099996,143
2754,HUNTINGTON UNIVERSITY,1695,1391,HUNTINGTON,IN,40.89907039900004,-85.49962449999998,-1
2755,CAROLINA SCHOOL OF BROADCASTING,113,41,CHARLOTTE,NC,35.25585668400004,-80.98397592899994,269
2756,LA BELLE BEAUTY ACADEMY,274,254,MIAMI,FL,25.769613766000077,-80.31581988999994,397
